PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021, popn_highschool_and_equivalent,high_school_per,area_kmsq,lum_count_2021,sum_2021,mean_2021,lum_count_2017,sum_2017,mean_2017,lum_count_2016,sum_2016,mean_2016,lum_count_2015,sum_2015,mean_2015,lum_count_2014,sum_2014,mean_2014,lum_count_2013,sum_2013,mean_2013,lum_count_2012,sum_2012,mean_2012,lisa_total_100_20_21,lisa_governance_management_9_20_21,lisa_organization_administration_8_20_21,lisa_budget_plan_management_11_20_21,lisa_fiscal_economic_management_11_20_21,lisa_service_delivery_16_20_21,lisa_judicial_execution_7_20_21,lisa_physical_infrastructure_13_20_21,lisa_social_inclusion_10_20_21,lisa_environmental_protection_ disaster_management_9_20_21,lisa_cooperation_coordination_6_20_21,lisa_total_100_21_22,lisa_governance_management_9_21_22,lisa_organization_administration_8_21_22,lisa_budget_plan_management_11_21_22,lisa_fiscal_economic_management_11_21_22,lisa_service_delivery_16_21_22,lisa_judicial_execution_7_21_22,lisa_physical_infrastructure_13_21_22,lisa_social_inclusion_10_21_22,lisa_environmental_protection_ disaster_management_9_21_22,lisa_cooperation_coordination_6_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
1,BHOJPUR,Gaunpalika,Aamchowk,15237,622,4.08%,184.69,966,336.1849367,0.348017533,966,243.2651033,0.251827229,966,52.44190659,0.054287688,966,146.2183606,0.151364762,966,111.1192188,0.115030247,966,152.5718549,0.157941879,966,50.38976703,0.05216332,51.25,8,4.75,7.5,6.25,9.75,5.5,3,3,3.5,0,60.75,7.5,5,8.5,9.5,11.75,5,6.5,4.5,2.5,0,10,19,8,6.5,8.5,52,Ashok Rai,36,Male,CPN-MC
1,BHOJPUR,Gaunpalika,Arun,14853,760,5.12%,154.76,812,326.4832271,0.40207294,812,213.7064692,0.263185307,812,89.39071051,0.110087082,812,140.6495614,0.173213746,812,98.93431507,0.121840289,812,111.2904636,0.137057221,812,44.77436097,0.055140839,46.5,7.5,2,7,5.5,8.5,5,3,5.5,1.5,1,52.5,7.25,4.75,6.5,5.5,7.5,5,3.5,7.5,2,3,10.5,16.5,7,1.5,2,37.5,Gajendra Bahadur Karki,59,Male,NC
1,BHOJPUR,Nagarpalika,Bhojpur,26126,1803,6.90%,159.51,831,334.1107529,0.402058668,831,228.5456855,0.275024892,831,77.86935604,0.093705603,831,145.0152482,0.174506917,831,110.6038133,0.133097248,831,108.981265,0.131144723,831,59.70309754,0.071844883,45.5,5,3,5,8.25,8.75,5,7,0,1,2.5,39.25,5.25,2,3.5,6,10.25,4,5,1.25,2,0,-,-,-,-,-,N/A,Kailash Kumar Ale,38,Male,NC
1,BHOJPUR,Gaunpalika,Hatuwagadhi,16302,900,5.52%,142.61,747,282.6066526,0.378322159,747,191.5027375,0.256362433,747,68.81496382,0.092121772,747,120.0247599,0.160675716,747,92.93762882,0.124414496,747,109.0294662,0.145956447,747,38.98865917,0.052193654,73,9,8,7,10,15,4,5,5,4,6,60.75,8,6.5,8,8,11.75,4,2.5,7,5,0,12.5,14.5,8,0.5,1,36.5,Prem Kumar Rai,52,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Pauwadungma,12170,541,4.45%,118.86,624,341.096043,0.546628274,624,164.4695163,0.263572943,624,66.93039559,0.107260249,624,101.4380092,0.162560912,624,81.34117755,0.130354451,624,110.5999411,0.177243495,624,33.67978361,0.053974012,61.5,8,6,7,9.5,11,5,5.5,5.5,3,1,77.25,8.5,8,9,10,14.75,6,7,6.5,5.5,2,14.5,24,16,9.5,14.5,78.5,Kiran Rai,35,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Ramprasad Rai,15632,689,4.41%,158.43,824,309.7917947,0.375960916,824,212.176933,0.257496278,824,58.2994575,0.070751769,824,130.7018562,0.158618758,824,88.50596378,0.10741015,824,117.0317092,0.142028773,824,46.44813074,0.056369091,58.25,8,6.25,8,9,10.5,5,3.5,2,5,1,73,8.5,7,9,8.5,12,6,7,5,7,3,15.5,26,10,11,8.5,71,Bijaya Rai,45,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Salpasilichho,12229,762,6.23%,193.33,1012,324.5743437,0.320725636,1012,256.224846,0.253186607,1012,44.62724768,0.044098071,1012,158.5279353,0.156648157,1012,94.41175373,0.093292247,1012,119.5582438,0.118140557,1012,63.59264555,0.062838583,N/A,,,,,,,,,,,72.75,6.5,6,8,8.5,13.25,7,7,10,4.5,2,14,23,13,7,11.5,68.5,Mahesh Rai,44,Male,NC
1,BHOJPUR,Nagarpalika,Shadananda,29777,1646,5.53%,241.15,1256,440.5285544,0.350739295,1256,330.3552896,0.263021727,1256,83.45520886,0.06644523,1256,219.1801446,0.174506485,1256,138.7912186,0.110502563,1256,161.6844856,0.128729686,1256,86.14693389,0.068588323,71.5,7.5,7.5,9,8.75,14.25,6,6.5,7,3.5,1.5,68.25,7.5,8,8.5,9,12,6,8.25,5.5,2.5,1,15,16.5,13,6.5,7,58,Birbal Rai,54,Male,NC
1,BHOJPUR,Gaunpalika,Tyamkemaiyung,15491,843,5.44%,173.41,915,315.0077797,0.344270797,915,236.0147478,0.257939615,915,65.97322171,0.072101882,915,139.8203273,0.152809101,915,85.6481467,0.093604532,915,103.6814754,0.113313088,915,50.16576474,0.054825972,54.25,7,4.75,6.5,6.25,8.5,4,6.5,4,4,2.75,66.5,7.5,5.75,7.5,9,12,6,6,4,5,3.75,11.5,20.5,10,7,9.5,58.5,Dhurwa Raj Rai,35,Male,CPN-UML
1,DHANKUTA,Gaunpalika,Chaubise,17914,1120,6.25%,147.6,778,345.1223459,0.443601987,778,218.6805555,0.281080405,778,61.00700665,0.078415176,778,141.5653467,0.1819606,778,112.4140994,0.14449113,778,108.2032197,0.139078689,778,55.76745177,0.071680529,72.25,8,6.75,8,10.5,12,7,7,7.5,3.5,2,78,8,5,8,10,13.5,7,9,10,5.5,2,12.5,21,11,6,13.5,64,Khajindra Rai,37,Male,CPN-UML
