PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021,popn_secondary,popn_highschool,popn_graduate,popn_post_graduate, popn_highschool_and_equivalent,high_school_per,area_kmsq,percen_chg_nl,baseline_nl_sqkm,sum_2023,mean_2023,sum_2022,mean_2022,sum_2021,mean_2021,sum_2020,mean_2020,sum_2019,mean_2019,sum_2018,mean_2018,sum_2017,mean_2017,sum_2016,mean_2016,sum_2015,mean_2015,sum_2014,mean_2014,sum_2013,mean_2013,sum_2012,mean_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
1,BHOJPUR,Gaunpalika,Aamchowk,15237,969,622,120,59,622,4.08%,184.69,38.19694323,0.748611984,391.3597917,0.40513436,317.4604815,0.328634039,336.1849367,0.348017533,292.182257,0.302466105,192.0297907,0.198788603,238.3882199,0.246778696,243.2651033,0.251827229,52.44190659,0.054287688,146.2183606,0.151364762,111.1192188,0.115030247,152.5718549,0.157941879,50.38976703,0.05216332,51.25,8,4.75,7.5,6.25,9.75,5.5,3,3,3.5,0,60.75,7.5,5,8.5,9.5,11.75,5,6.5,4.5,2.5,0,10,19,8,6.5,8.5,52,Ashok Rai,36,Male,CPN-MC
1,BHOJPUR,Gaunpalika,Arun,14853,1182,760,189,96,760,5.12%,154.76,52.77180346,0.876649419,354.1285516,0.436118906,293.0096103,0.360849274,326.4832271,0.40207294,253.9819209,0.312785617,183.182856,0.22559465,200.5472458,0.246979367,213.7064692,0.263185307,89.39071051,0.110087082,140.6495614,0.173213746,98.93431507,0.121840289,111.2904636,0.137057221,44.77436097,0.055140839,46.5,7.5,2,7,5.5,8.5,5,3,5.5,1.5,1,52.5,7.25,4.75,6.5,5.5,7.5,5,3.5,7.5,2,3,10.5,16.5,7,1.5,2,37.5,Gajendra Bahadur Karki,59,Male,NC
1,BHOJPUR,Nagarpalika,Bhojpur,26126,2373,1803,671,367,1803,6.90%,159.51,46.18991917,0.880875969,398.9193353,0.480047335,325.3206058,0.391480873,334.1107529,0.402058668,280.6694786,0.337749072,194.8165815,0.234436319,216.7266323,0.260802205,228.5456855,0.275024892,77.86935604,0.093705603,145.0152482,0.174506917,110.6038133,0.133097248,108.981265,0.131144723,59.70309754,0.071844883,45.5,5,3,5,8.25,8.75,5,7,0,1,2.5,39.25,5.25,2,3.5,6,10.25,4,5,1.25,2,0,-,-,-,-,-,N/A,Kailash Kumar Ale,38,Male,NC
1,BHOJPUR,Gaunpalika,Hatuwagadhi,16302,783,900,200,88,900,5.52%,142.61,47.57316594,0.829675496,341.2706654,0.456854974,258.2000088,0.345649276,282.6066526,0.378322159,230.0177962,0.307922083,152.0031852,0.203484853,206.9692376,0.277067252,191.5027375,0.256362433,68.81496382,0.092121772,120.0247599,0.160675716,92.93762882,0.124414496,109.0294662,0.145956447,38.98865917,0.052193654,73,9,8,7,10,15,4,5,5,4,6,60.75,8,6.5,8,8,11.75,4,2.5,7,5,0,12.5,14.5,8,0.5,1,36.5,Prem Kumar Rai,52,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Pauwadungma,12170,804,541,121,88,541,4.45%,118.86,107.3916496,0.871149038,298.290801,0.47803013,231.3739623,0.370791606,341.096043,0.546628274,195.1401643,0.312724622,131.7796886,0.211185398,156.1394014,0.2502234,164.4695163,0.263572943,66.93039559,0.107260249,101.4380092,0.162560912,81.34117755,0.130354451,110.5999411,0.177243495,33.67978361,0.053974012,61.5,8,6,7,9.5,11,5,5.5,5.5,3,1,77.25,8.5,8,9,10,14.75,6,7,6.5,5.5,2,14.5,24,16,9.5,14.5,78.5,Kiran Rai,35,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Ramprasad Rai,15632,820,689,133,56,689,4.41%,158.43,46.00634966,0.772713833,367.4364425,0.445918013,288.26292,0.349833641,309.7917947,0.375960916,254.1161925,0.308393438,172.2208591,0.209005897,207.6310205,0.251979394,212.176933,0.257496278,58.2994575,0.070751769,130.7018562,0.158618758,88.50596378,0.10741015,117.0317092,0.142028773,46.44813074,0.056369091,58.25,8,6.25,8,9,10.5,5,3.5,2,5,1,73,8.5,7,9,8.5,12,6,7,5,7,3,15.5,26,10,11,8.5,71,Bijaya Rai,45,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Salpasilichho,12229,810,762,140,53,762,6.23%,193.33,26.67559324,0.716122411,397.5949838,0.392880419,336.7373969,0.332744463,324.5743437,0.320725636,301.0503839,0.297480617,211.4062984,0.208899504,243.0030198,0.240121561,256.224846,0.253186607,44.62724768,0.044098071,158.5279353,0.156648157,94.41175373,0.093292247,119.5582438,0.118140557,63.59264555,0.062838583,N/A,,,,,,,,,,,72.75,6.5,6,8,8.5,13.25,7,7,10,4.5,2,14,23,13,7,11.5,68.5,Mahesh Rai,44,Male,NC
1,BHOJPUR,Nagarpalika,Shadananda,29777,1782,1646,354,184,1646,5.53%,241.15,33.34993211,0.8001056,533.3083204,0.424608535,450.813775,0.358928165,440.5285544,0.350739295,395.2763444,0.314710465,287.0377171,0.228533214,309.7215735,0.246593609,330.3552896,0.263021727,83.45520886,0.06644523,219.1801446,0.174506485,138.7912186,0.110502563,161.6844856,0.128729686,86.14693389,0.068588323,71.5,7.5,7.5,9,8.75,14.25,6,6.5,7,3.5,1.5,68.25,7.5,8,8.5,9,12,6,8.25,5.5,2.5,1,15,16.5,13,6.5,7,58,Birbal Rai,54,Male,NC
1,BHOJPUR,Gaunpalika,Tyamkemaiyung,15491,1282,843,172,111,843,5.44%,173.41,33.46953215,0.760418147,378.4299524,0.413584647,317.1379212,0.346598821,315.0077797,0.344270797,286.7973893,0.31343977,190.218122,0.207888658,215.5135491,0.235533933,236.0147478,0.257939615,65.97322171,0.072101882,139.8203273,0.152809101,85.6481467,0.093604532,103.6814754,0.113313088,50.16576474,0.054825972,54.25,7,4.75,6.5,6.25,8.5,4,6.5,4,4,2.75,66.5,7.5,5.75,7.5,9,12,6,6,4,5,3.75,11.5,20.5,10,7,9.5,58.5,Dhurwa Raj Rai,35,Male,CPN-UML
1,DHANKUTA,Gaunpalika,Chaubise,17914,956,1120,260,109,1120,6.25%,147.6,57.820317,0.903907534,408.2396469,0.524729623,301.7215104,0.387816851,345.1223459,0.443601987,257.473348,0.330942607,172.224,0.221367609,212.6555001,0.273336118,218.6805555,0.281080405,61.00700665,0.078415176,141.5653467,0.1819606,112.4140994,0.14449113,108.2032197,0.139078689,55.76745177,0.071680529,72.25,8,6.75,8,10.5,12,7,7,7.5,3.5,2,78,8,5,8,10,13.5,7,9,10,5.5,2,12.5,21,11,6,13.5,64,Khajindra Rai,37,Male,CPN-UML
