province,district,unit_type,unit_name,popn_2021,popn_highschool_and_equivalent,high_school_per,area_kmsq,change_nl_sq_km,baseline_nl_sqkm,sum_2023,mean_2023,sum_2022,mean_2022,sum_2021,mean_2021,sum_2020,mean_2020,sum_2019,mean_2019,sum_2018,mean_2018,sum_2017,mean_2017,sum_2016,mean_2016,sum_2015,mean_2015,sum_2014,mean_2014,sum_2013,mean_2013,sum_2012,mean_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,fra_plan_budget_program_manageme,fra_implementation_capability_ma,fra_accounting_reporting_17_20_2,fra_monitoring_evaluation_audit_,fra_revenue_management_17_21_22,fra_total_100_21_22,nameofchairperson,ageatelection,sex,politicalaffiliation,baseline_nl,log_baseline_nl,chgnl,ln_popn,high_school_percent,urban_num,gov_coalitiion,female,over_65,ln_area,ln_educ,lisa_avg,gov_magm_avg,org_admin_avg,budg_magm_avg,fiscal_magm_avg,service_dev_avg,jud_exe_avg,phy_infra_avg,soc_inc_avg,env_protec_avg,cop_cor_avg
1,BHOJPUR,Gaunpalika,Aamchowk,15237,622,4.08%,184.69,.50311244,2.9944479,391.3598,.40513435,317.46048,.32863405,336.18494,.34801754,292.18225,.30246609,192.02979,.1987886,238.38821,.2467787,243.26511,.25182724,52.441906,.054287687,146.21835,.15136476,111.11922,.11503024,152.57185,.15794188,50.389767,.052163322,51.25,8,4.75,7.5,6.25,9.75,5.5,3,3,3.5,0,60.75,7.5,5,8.5,9.5,11.75,5,6.5,4.5,2.5,0,10,19,8,6.5,8.5,52,Ashok Rai,36,Male,CPN-MC,138.26114,4.9291444,4.5317369,9.6314821,4.0821686,0,1,0,0,5.218679,6.43294,56,7.75,4.875,8,7.875,10.75,5.25,4.75,3.75,3,0
1,BHOJPUR,Gaunpalika,Arun,14853,760,5.12%,154.75999,.72872031,3.5065978,354.12854,.4361189,293.00961,.36084926,326.48322,.40207294,253.98192,.31278563,183.18286,.22559465,200.54724,.24697937,213.70647,.26318529,89.390709,.11008708,140.64957,.17321375,98.934319,.12184029,111.29047,.13705721,44.774361,.055140838,46.5,7.5,2,7,5.5,8.5,5,3,5.5,1.5,1,52.5,7.25,4.75,6.5,5.5,7.5,5,3.5,7.5,2,3,10.5,16.5,7,1.5,2,37.5,Gajendra Bahadur Karki,59,Male,NC,135.67026,4.9102273,4.72541,9.605957,5.1168113,0,0,0,0,5.0418754,6.6333184,49.5,7.375,3.375,6.75,5.5,8,5,3.25,6.5,1.75,2
1,BHOJPUR,Nagarpalika,Bhojpur,26126,1803,6.90%,159.50999,.66180843,3.5235038,398.91934,.48004735,325.32062,.39148086,334.11075,.40205866,280.66946,.33774906,194.81657,.23443632,216.72664,.26080221,228.54568,.27502489,77.869354,.093705602,145.01524,.17450692,110.60381,.13309725,108.98126,.13114472,59.703098,.071844883,45.5,5,3,5,8.25,8.75,5,7,0,1,2.5,39.25,5.25,2,3.5,6,10.25,4,5,1.25,2,0,-,-,-,-,-,N/A,Kailash Kumar Ale,38,Male,NC,140.50853,4.9452682,4.6593275,10.170687,6.9011712,1,0,0,0,5.0721064,7.4972072,42.375,5.125,2.5,4.25,7.125,9.5,4.5,6,.625,1.5,1.25
1,BHOJPUR,Gaunpalika,Hatuwagadhi,16302,900,5.52%,142.61,.63883257,3.318702,341.27066,.45685497,258.20001,.34564927,282.60666,.37832215,230.01779,.3079221,152.00319,.20348485,206.96924,.27706724,191.50273,.25636244,68.814964,.092121772,120.02476,.16067572,92.93763,.1244145,109.02946,.14595644,38.988659,.052193653,73,9,8,7,10,15,4,5,5,4,6,60.75,8,6.5,8,8,11.75,4,2.5,7,5,0,12.5,14.5,8,0.5,1,36.5,Prem Kumar Rai,52,Male,CPN-UML,118.32002,4.7733932,4.512001,9.6990433,5.5207949,0,1,0,0,4.9601135,6.8023949,66.875,8.5,7.25,7.5,9,13.375,4,3.75,6,4.5,3
1,BHOJPUR,Gaunpalika,Pauwadungma,12170,541,4.45%,118.86,1.4860047,3.4845963,298.2908,.47803012,231.37396,.37079161,341.09604,.5466283,195.14017,.31272462,131.77969,.2111854,156.1394,.2502234,164.46951,.26357293,66.930397,.10726025,101.43801,.16256091,81.341179,.13035445,110.59994,.1772435,33.679783,.053974014,61.5,8,6,7,9.5,11,5,5.5,5.5,3,1,77.25,8.5,8,9,10,14.75,6,7,6.5,5.5,2,14.5,24,16,9.5,14.5,78.5,Kiran Rai,35,Male,CPN-UML,103.54478,4.6400042,5.1740375,9.4067287,4.4453573,0,1,0,0,4.7779465,6.2934194,69.375,8.25,7,8,9.75,12.875,5.5,6.25,6,4.25,1.5
1,BHOJPUR,Gaunpalika,Ramprasad Rai,15632,689,4.41%,158.42999,.61613876,3.0908554,367.43643,.44591802,288.26291,.34983364,309.79181,.37596092,254.1162,.30839345,172.22086,.20900589,207.63103,.25197938,212.17693,.25749627,58.299458,.070751771,130.70186,.15861876,88.505966,.10741015,117.03171,.14202878,46.448132,.056369092,58.25,8,6.25,8,9,10.5,5,3.5,2,5,1,73,8.5,7,9,8.5,12,6,7,5,7,3,15.5,26,10,11,8.5,71,Bijaya Rai,45,Male,CPN-UML,122.42105,4.8074665,4.5810299,9.6570749,4.4076252,0,1,0,0,5.0653129,6.5352411,65.625,8.25,6.625,8.5,8.75,11.25,5.5,5.25,3.5,6,2
1,BHOJPUR,Nagarpalika,Shadananda,29777,1646,5.53%,241.14999,.45686612,3.2004223,533.30835,.42460853,450.81378,.35892817,440.52856,.3507393,395.27634,.31471047,287.03772,.22853321,309.72159,.24659361,330.35529,.26302174,83.455208,.066445231,219.18015,.17450649,138.79121,.11050256,161.68448,.12872969,86.146935,.068588324,71.5,7.5,7.5,9,8.75,14.25,6,6.5,7,3.5,1.5,68.25,7.5,8,8.5,9,12,6,8.25,5.5,2.5,1,15,16.5,13,6.5,7,58,Birbal Rai,54,Male,NC,192.94547,5.2624078,4.7020545,10.301492,5.5277562,1,0,0,0,5.4854193,7.4061036,69.875,7.5,7.75,8.75,8.875,13.125,6,7.375,6.25,3,1.25
1,BHOJPUR,Gaunpalika,Tyamkemaiyung,15491,843,5.44%,173.41,.45552754,3.0416727,378.42996,.41358465,317.13791,.34659883,315.00778,.3442708,286.79739,.31343976,190.21812,.20788866,215.51355,.23553394,236.01476,.25793961,65.973221,.072101884,139.82033,.1528091,85.648148,.093604535,103.68147,.11331309,50.165764,.054825973,54.25,7,4.75,6.5,6.25,8.5,4,6.5,4,4,2.75,66.5,7.5,5.75,7.5,9,12,6,6,4,5,3.75,11.5,20.5,10,7,9.5,58.5,Dhurwa Raj Rai,35,Male,CPN-UML,131.86411,4.881772,4.3693595,9.6480141,5.4418693,0,1,0,0,5.1556587,6.7369671,60.375,7.25,5.25,7,7.625,10.25,5,6.25,4,4.5,3.25
1,DHANKUTA,Gaunpalika,Chaubise,17914,1120,6.25%,147.60001,.85665172,3.6156301,408.23965,.52472961,301.7215,.38781685,345.12234,.443602,257.47336,.3309426,172.224,.22136761,212.6555,.27333611,218.68056,.28108039,61.007008,.078415178,141.56535,.1819606,112.4141,.14449114,108.20322,.13907869,55.767452,.071680531,72.25,8,6.75,8,10.5,12,7,7,7.5,3.5,2,78,8,5,8,10,13.5,7,9,10,5.5,2,12.5,21,11,6,13.5,64,Khajindra Rai,37,Male,CPN-UML,133.41675,4.8934774,4.8397822,9.7933378,6.2520933,0,1,0,0,4.9945059,7.0210838,75.125,8,5.875,8,10.25,12.75,7,8,8.75,4.5,2
1,DHANKUTA,Gaunpalika,Chhathar Jorpati,16477,1306,7.93%,102.83,.65217674,4.3139362,280.72089,.53066331,226.81511,.42876202,233.19781,.44082764,185.56885,.35079178,132.42433,.25032955,166.61554,.31496322,166.13449,.31405386,67.010849,.12667456,109.30404,.2066239,101.15269,.19121493,97.956238,.18517247,57.546299,.10878318,79.25,8,8,8,9.5,13.5,7,11.25,6,6,2,87,8,8,11,11,15,7,12,7,6,2,19.5,23.5,16,9.5,14,82.5,Sherbahadur Limbu,39,Male,CPN-UML,110.90052,4.7086334,4.2056375,9.7097206,7.9262004,0,1,0,0,4.6330771,7.1747241,83.125,8,8,9.5,10.25,14.25,7,11.625,6.5,6,2
