	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl	chgnl
												
log_baseline_nl	0.979***	0.974***	0.974***	0.968***	0.968***	0.968***	0.966***	0.950***	0.949***	0.949***	0.948***	0.945***
	(0.029)	(0.028)	(0.028)	(0.028)	(0.028)	(0.028)	(0.028)	(0.027)	(0.027)	(0.027)	(0.027)	(0.026)
gov_magm_avg		0.033	0.033	0.013	0.011	-0.004	-0.008	-0.015	-0.015	-0.015	-0.023	-0.033
		(0.024)	(0.028)	(0.029)	(0.029)	(0.030)	(0.030)	(0.030)	(0.030)	(0.030)	(0.030)	(0.030)
org_admin_avg			-0.000	-0.017	-0.019	-0.033	-0.031	-0.037	-0.038	-0.038	-0.039	-0.022
			(0.021)	(0.024)	(0.027)	(0.027)	(0.027)	(0.027)	(0.027)	(0.027)	(0.027)	(0.027)
budg_magm_avg				0.038*	0.036*	0.029	0.029	0.016	0.015	0.015	0.015	0.014
				(0.020)	(0.020)	(0.020)	(0.020)	(0.020)	(0.020)	(0.020)	(0.020)	(0.019)
fiscal_magm_avg					0.006	-0.005	-0.008	-0.013	-0.013	-0.013	-0.016	-0.012
					(0.021)	(0.022)	(0.021)	(0.021)	(0.021)	(0.021)	(0.021)	(0.021)
service_dev_avg						0.030**	0.027	0.016	0.014	0.014	0.013	0.011
						(0.015)	(0.017)	(0.017)	(0.017)	(0.017)	(0.017)	(0.017)
jud_exe_avg							0.017	0.007	0.007	0.007	0.004	-0.016
							(0.026)	(0.026)	(0.026)	(0.026)	(0.026)	(0.026)
phy_infra_avg								0.042***	0.041***	0.041***	0.034***	0.030**
								(0.012)	(0.012)	(0.013)	(0.013)	(0.012)
soc_inc_avg									0.007	0.007	0.002	-0.003
									(0.016)	(0.017)	(0.017)	(0.017)
env_protec_avg										-0.000	-0.013	-0.026
										(0.018)	(0.018)	(0.018)
cop_cor_avg											0.051***	0.046***
											(0.016)	(0.016)
high_school_percent												0.045***
												(0.009)
Constant	-0.498***	-0.717***	-0.717***	-0.719***	-0.725***	-0.728***	-0.725***	-0.514**	-0.497*	-0.498*	-0.379	-0.478*
	(0.153)	(0.247)	(0.246)	(0.246)	(0.250)	(0.248)	(0.248)	(0.249)	(0.256)	(0.257)	(0.260)	(0.255)
												
Observations	688	688	688	688	688	688	688	688	688	688	688	688
R-squared	0.515	0.516	0.516	0.519	0.519	0.521	0.521	0.528	0.528	0.528	0.533	0.551
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
